l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
64,4,OFF,1,DDR4_2400_8x8,TaggedPrefetcher,32,0.149908
64,8,ON,8,DDR4_2400_4x16,None,128,0.058226
256,2,ON,8,DDR4_2400_16x4,BOPPrefetcher,32,0.035208
32,4,ON,4,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.044875
512,4,ON,8,DDR3_1600_8x8,SignaturePathPrefetcher,64,0.032805
32,16,OFF,1,DDR3_1600_8x8,None,128,0.160392
32,4,ON,16,DDR4_2400_16x4,BOPPrefetcher,64,0.058180
256,1,OFF,16,DDR4_2400_16x4,TaggedPrefetcher,128,0.096774
256,4,OFF,4,DDR4_2400_4x16,None,64,0.034374
256,8,OFF,2,DDR4_2400_4x16,TaggedPrefetcher,32,0.032429
128,1,ON,4,DDR3_1600_8x8,AMPMPrefetcher,128,0.048200
128,4,ON,2,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.039040
64,16,OFF,4,DDR4_2400_8x8,AMPMPrefetcher,128,0.172165
128,2,OFF,2,DDR3_1600_8x8,None,128,0.096297
512,16,ON,2,DDR4_2400_8x8,AMPMPrefetcher,128,0.032774
128,1,OFF,2,DDR3_2133_8x8,TaggedPrefetcher,128,0.097646
32,4,ON,2,DDR4_2400_4x16,BOPPrefetcher,32,0.057782
32,8,ON,16,DDR4_2400_8x8,BOPPrefetcher,32,0.058096
256,16,OFF,8,DDR4_2400_4x16,AMPMPrefetcher,32,0.032480
256,8,ON,8,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.032783
128,8,ON,1,DDR3_1600_8x8,AMPMPrefetcher,32,0.046567
32,16,ON,2,DDR4_2400_4x16,TaggedPrefetcher,64,0.059954
128,2,ON,2,DDR4_2400_4x16,None,128,0.043506
64,1,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.059226
64,2,ON,2,DDR4_2400_4x16,AMPMPrefetcher,128,0.063229
512,2,ON,16,DDR3_1600_8x8,None,128,0.032921
512,1,OFF,4,DDR3_1600_8x8,BOPPrefetcher,32,0.065462
128,1,OFF,1,DDR3_2133_8x8,BOPPrefetcher,32,0.098242
256,16,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,128,0.031726
64,4,ON,2,DDR4_2400_4x16,TaggedPrefetcher,128,0.062285
512,8,OFF,4,DDR3_2133_8x8,AMPMPrefetcher,64,0.031738
64,2,OFF,8,DDR4_2400_8x8,BOPPrefetcher,32,0.149113
512,8,ON,1,DDR3_2133_8x8,SignaturePathPrefetcher,32,0.032358
32,2,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.062524
32,8,ON,1,DDR4_2400_16x4,AMPMPrefetcher,128,0.062973
128,1,OFF,4,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.075354
32,1,OFF,16,DDR3_1600_8x8,None,64,0.157398
64,8,OFF,8,DDR3_2133_8x8,AMPMPrefetcher,128,0.166154
32,8,ON,2,DDR3_2133_8x8,None,32,0.057752
256,8,OFF,8,DDR3_2133_8x8,BOPPrefetcher,128,0.031759
64,2,OFF,4,DDR3_1600_8x8,None,64,0.150907
32,4,ON,2,DDR4_2400_4x16,TaggedPrefetcher,64,0.059857
256,1,ON,4,DDR4_2400_16x4,None,128,0.033256
256,4,ON,2,DDR4_2400_8x8,TaggedPrefetcher,32,0.032499
128,2,ON,1,DDR4_2400_16x4,AMPMPrefetcher,32,0.039522
256,1,ON,4,DDR3_2133_8x8,BOPPrefetcher,128,0.039625
64,2,ON,4,DDR4_2400_4x16,BOPPrefetcher,128,0.057381
32,16,ON,2,DDR4_2400_4x16,None,32,0.057827
64,2,OFF,2,DDR4_2400_8x8,BOPPrefetcher,64,0.149416
32,8,OFF,1,DDR4_2400_16x4,None,64,0.150705
32,1,ON,4,DDR4_2400_16x4,AMPMPrefetcher,128,0.068111
128,4,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,32,0.089684
128,8,ON,8,DDR3_1600_8x8,AMPMPrefetcher,128,0.047714
512,4,OFF,1,DDR3_1600_8x8,None,128,0.031817
512,16,OFF,8,DDR3_1600_8x8,BOPPrefetcher,128,0.031766
256,4,ON,2,DDR4_2400_4x16,TaggedPrefetcher,64,0.032652
512,8,ON,4,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.032740
512,8,OFF,8,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.031933
32,4,ON,8,DDR4_2400_4x16,TaggedPrefetcher,128,0.062370
256,8,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,128,0.032261
128,1,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.048304
256,16,ON,4,DDR3_1600_8x8,SignaturePathPrefetcher,128,0.032819
32,1,OFF,4,DDR4_2400_4x16,AMPMPrefetcher,64,0.167997
32,1,OFF,4,DDR3_2133_8x8,BOPPrefetcher,64,0.149203
128,1,ON,2,DDR3_1600_8x8,BOPPrefetcher,128,0.042921
512,8,ON,4,DDR4_2400_16x4,None,64,0.032732
512,1,ON,8,DDR4_2400_16x4,TaggedPrefetcher,64,0.038068
64,4,OFF,8,DDR4_2400_16x4,SignaturePathPrefetcher,64,0.109962
256,2,OFF,8,DDR4_2400_16x4,None,128,0.045142
512,8,ON,16,DDR4_2400_4x16,AMPMPrefetcher,32,0.032375
512,8,OFF,16,DDR3_1600_8x8,TaggedPrefetcher,64,0.031701
512,2,ON,8,DDR3_2133_8x8,None,128,0.032857
32,8,ON,8,DDR3_2133_8x8,BOPPrefetcher,64,0.058136
256,8,ON,16,DDR4_2400_8x8,AMPMPrefetcher,64,0.032839
128,2,OFF,8,DDR3_1600_8x8,AMPMPrefetcher,32,0.082630
64,2,ON,1,DDR4_2400_16x4,TaggedPrefetcher,128,0.060547
128,2,OFF,4,DDR3_1600_8x8,AMPMPrefetcher,32,0.082630
256,4,ON,2,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.032496
128,16,ON,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.038548
128,2,OFF,2,DDR4_2400_4x16,SignaturePathPrefetcher,64,0.067171
128,1,ON,8,DDR4_2400_8x8,TaggedPrefetcher,32,0.045554
256,4,OFF,4,DDR3_2133_8x8,BOPPrefetcher,64,0.050534
512,4,OFF,8,DDR4_2400_8x8,AMPMPrefetcher,32,0.031813
32,4,OFF,8,DDR4_2400_16x4,BOPPrefetcher,64,0.151067
128,1,ON,1,DDR3_1600_8x8,AMPMPrefetcher,32,0.044596
32,2,ON,8,DDR4_2400_4x16,TaggedPrefetcher,32,0.059163
128,16,ON,1,DDR3_2133_8x8,TaggedPrefetcher,64,0.047836
256,2,OFF,2,DDR3_1600_8x8,BOPPrefetcher,32,0.058410
128,16,ON,16,DDR4_2400_16x4,SignaturePathPrefetcher,128,0.040882
128,8,ON,8,DDR4_2400_16x4,AMPMPrefetcher,64,0.042425
64,16,OFF,4,DDR4_2400_16x4,AMPMPrefetcher,32,0.151724
